"Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
"Dewan MPSP(K) Taman Gurun Jaya",0,0,0,1,"5.8168665",100.4714387,"Kuala Muda","","Kedah"
"Dewan Mpt Dato Bahaman Lanchang",0,0,0,1,"3.45093",102.4188,"Temerloh","","Pahang"
"Dewan MPT Dato' Zaharuddin Abu Kassim Simpang Peragap, Temerloh",0,0,0,1,"3.5467616",102.3957801,"Temerloh","","Pahang"
"Dewan Muafakat Johor Taman Adda",0,0,0,1,"1.5505",103.7439,"Johor Bahru","","Johor"
"Dewan Muafakat Johor, Bandar Baru Bukit Gambir",0,0,0,1,"2.21606",102.6510982,"Tangkak","","Johor"
"Dewan Mutiara, Kolej Matrikulasi Labuan",0,0,0,1,"5.3584495",115.2245659,"W.P. Labuan","","W.P. Labuan"
"Dewan Orang Ramai Jerek",0,0,0,1,"5.81125",101.98151,"Gua Musang","","Kelantan"
"Dewan Orang Ramai Kampung Mela",0,0,0,1,"4.07486",102.27072,"Lipis","","Pahang"
"Dewan Orang Ramai Parit Raja, Batu Pahat",0,0,0,1,"1.8668287",103.1103091,"Batu Pahat","","Johor"
"Dewan Orang Ramai Relong, Padang Tengku",0,0,0,1,"4.2325365",101.9815182,"Lipis","","Pahang"
"Dewan Orang Ramai Sendayan",0,0,0,1,"2.6744256",101.8419548,"Seremban","","Negeri Sembilan"
"Dewan Orang Ramai Simpang Renggam",0,0,0,1,"1.8274615",103.2733413,"Kluang","","Johor"
"Dewan Orang Ramai Taman Bukit Mewah Kajang",0,0,0,1,"2.9802032",101.8013886,"Ulu Langat","","Selangor"
"Dewan Org Ramai Sikamat",0,0,0,1,"2.74441",101.96081,"Seremban","","Negeri Sembilan"
"Dewan Pak Musa",0,0,0,1,"5.3446117",115.7446059,"Beaufort","","Sabah"
"Dewan Panglima Rentap",0,0,0,1,"1.4127",111.5309,"Betong","","Sarawak"
"Dewan Pejabat Daerah Jempol",0,0,0,1,"2.8966",102.4055,"Jempol","","Negeri Sembilan"
"Dewan Pejabat Daerah Kanowit",0,0,0,1,"2.10129",112.15143,"Kanowit","","Sarawak"
"Dewan Pejabat Daerah Kecil Matunggong, Kudat",0,0,0,1,"6.7525381",116.7176458,"Kudat","","Sabah"
"Dewan Pembangunan Sebuyau",0,0,0,1,"1.5201761",110.9335044,"Samarahan","","Sarawak"
"DEWAN PERDA CONVENTION CENTRE",0,0,0,1,"5.4183",100.3049,"Seberang Perai Utara","","Pulau Pinang"
"Dewan Perdana",0,0,0,1,"5.021763",118.286614,"Lahad Datu","","Sabah"
"Dewan Perdana Akademi Bomba Bau",0,0,0,1,"1.40579",110.13424,"Bau","","Sarawak"
"Dewan Perdana Tampin",0,0,0,1,"2.47061",102.2263,"Tampin","","Negeri Sembilan"
